source_id,domain,seed_url,best_strategy,status,has_rss,has_sitemap,html_status,articles_in_db,on_skip_list,skip_reason,top_errors
sbv_gov_vn,sbv.gov.vn,https://www.sbv.gov.vn/vi/trang-chu,sitemap_then_article_extract,active,False,True,200,3,False,,"NotToday:149, HttpError:2, FetchError:1"
scmp_com,scmp.com,https://www.scmp.com/business,rss_then_article_extract,active,True,True,200,15,False,,"NotToday:165, AccessControlDetected:50"
sggp_org_vn,sggp.org.vn,https://www.sggp.org.vn/kinh-te,sitemap_then_article_extract,active,False,True,404,37,False,,"NotToday:195, AccessControlDetected:4"
ssc_gov_vn,ssc.gov.vn,https://ssc.gov.vn,html_then_trafilatura,active_candidate,False,False,200,0,False,,ReadTimeout:2
taichinhdoanhnghiep_net_vn,taichinhdoanhnghiep.net.vn,https://taichinhdoanhnghiep.net.vn,rss_then_article_extract,active,True,True,200,0,True,blocked,FetchError:8
tapchicongthuong_vn,tapchicongthuong.vn,https://tapchicongthuong.vn,sitemap_then_article_extract,active,False,True,200,1463,False,,
tapchikinhtetaichinh_vn,tapchikinhtetaichinh.vn,https://tapchikinhtetaichinh.vn,html_then_trafilatura,active_candidate,False,False,200,76,False,,NotToday:87
tapchixaydung_vn,tapchixaydung.vn,https://tapchixaydung.vn,sitemap_then_article_extract,active,False,True,200,46,False,,
thanhnien_vn,thanhnien.vn,https://thanhnien.vn/kinh-te.htm,rss_then_article_extract,active,True,True,200,41,False,,"NotToday:101, AccessControlDetected:52"
thedefiant_io,thedefiant.io,https://www.thedefiant.io/news,rss_then_article_extract,active,True,False,403,0,True,blocked,FetchError:7
theguardian_com,theguardian.com,https://www.theguardian.com/business,rss_then_article_extract,active,True,True,200,56,False,,"NotToday:45, AccessControlDetected:40"
theleader_vn,theleader.vn,https://theleader.vn,rss_then_article_extract,active,True,True,200,2,False,,NotToday:300
thesaigontimes_vn,thesaigontimes.vn,https://thesaigontimes.vn,sitemap_then_article_extract,active,False,True,200,0,False,,AccessControlDetected:300
thitruongtaichinhtiente_vn,thitruongtaichinhtiente.vn,https://thitruongtaichinhtiente.vn,playwright_fallback,active_candidate,False,False,403,0,True,blocked,HttpError:8
thuongtruong_com_vn,thuongtruong.com.vn,https://thuongtruong.com.vn,sitemap_then_article_extract,active,False,True,200,0,False,,"NotToday:126, AccessControlDetected:24"
tinnhanhchungkhoan_vn,tinnhanhchungkhoan.vn,https://www.tinnhanhchungkhoan.vn,sitemap_then_article_extract,active,False,True,200,454,False,,NotToday:147
tradingeconomics_com,tradingeconomics.com,https://tradingeconomics.com,sitemap_then_article_extract,active,False,True,200,210,False,,NotToday:100
tuoitre_vn,tuoitre.vn,https://tuoitre.vn/kinh-doanh.htm,rss_then_article_extract,active,True,True,200,42,False,,"NotToday:84, AccessControlDetected:53"
vccinews_vn,vccinews.vn,https://vccinews.vn,sitemap_then_article_extract,active,False,True,200,0,False,,NotToday:60
vietnambiz_vn,vietnambiz.vn,https://vietnambiz.vn,html_then_trafilatura,active_candidate,False,False,200,38,False,,NotToday:233
vietnamfinance_vn,vietnamfinance.vn,https://vietnamfinance.vn,rss_then_article_extract,active,True,True,200,4,False,,NotToday:304
vietnamnet_vn,vietnamnet.vn,https://vietnamnet.vn/kinh-doanh,rss_then_article_extract,active,True,True,200,29,False,,NotToday:178
vietstock_vn,vietstock.vn,https://vietstock.vn,sitemap_then_article_extract,active,False,True,200,0,False,,AccessControlDetected:295
vnbusiness_vn,vnbusiness.vn,https://vnbusiness.vn,sitemap_then_article_extract,active,False,True,200,81,False,,"AccessControlDetected:155, NotToday:88, HttpError:2"
vneconomy_vn,vneconomy.vn,https://vneconomy.vn,sitemap_then_article_extract,active,False,True,200,161,False,,NotToday:4
vnexpress_net,vnexpress.net,https://vnexpress.net/kinh-doanh,sitemap_then_article_extract,active,False,True,200,181,False,,AccessControlDetected:40
vov_vn,vov.vn,https://vov.vn/kinh-te,sitemap_then_article_extract,active,False,True,200,0,False,,AccessControlDetected:250
vsd_vn,vsd.vn,https://vsd.vn/vi/,html_then_trafilatura,active_candidate,False,False,200,47,False,,NotToday:156
vtcnews_vn,vtcnews.vn,https://vtcnews.vn/kinh-te-29.html,sitemap_then_article_extract,active,False,True,200,113,False,,NotToday:100
vtv_vn,vtv.vn,https://vtv.vn/kinh-te.htm,rss_then_article_extract,active,True,True,200,55,False,,NotToday:110
worldbank_org,worldbank.org,https://www.worldbank.org/ext/en/country/vietnam,sitemap_then_article_extract,active,False,True,200,43,False,,"NotToday:145, HttpError:79"
xaydung_gov_vn,xaydung.gov.vn,https://xaydung.gov.vn,manual_review,review,False,False,0,0,True,profile_failed,ConnectError:3
